com.samsung.shealth.rewards,6221053,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
1202,,11007,,2c7e86d7-56e4-4dc4-8409-b18ede14658b,2022-05-08 15:17:12.321,2022-01-25 14:22:01.826,,,1202,UTC+0300,4.912692,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.best.record.pace.lifetime,2022-01-25 14:22:01.706,83b9c2ec-5449-4af3-9b0f-8bf813bdb5cd,0,
,2022-03-03 21:00:00.000,,10009,,2022-03-09 21:00:03.399,2022-03-04 11:04:31.016,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":13445}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-03-03 21:00:00.000,e647f886-6650-4f42-b222-10bc3dbb9427,1,
,2022-02-07 21:00:00.000,,100003,,2022-02-08 20:59:00.045,2022-02-08 13:41:00.856,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":12026}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-02-07 21:00:00.000,dc19de49-9e7f-47b3-b52c-f1c9d05fd9d1,1,
,2022-03-05 21:00:00.000,,100003,,2022-03-11 21:00:02.030,2022-03-06 15:32:36.924,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":12513}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-03-05 21:00:00.000,4df9e2ee-eec0-4065-ba07-3d5de44c55d0,1,
,2022-01-29 21:00:00.000,,100003,,2022-01-30 18:53:35.298,2022-01-30 13:45:14.271,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":10683}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-29 21:00:00.000,65658fa7-1fde-4877-a99d-51983d09cfd0,1,
,2022-02-09 21:00:00.000,,100003,,2022-02-10 20:51:51.379,2022-02-10 15:04:40.578,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":23321}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-02-09 21:00:00.000,351d9e67-6626-49b0-a58e-0aa4666863d5,1,
1200,,11007,,9e4d6d7f-3a8e-4a6c-b2dd-423d0b53ba4a,2022-05-06 14:18:54.549,2022-02-05 14:13:55.994,,,1200,UTC+0300,28190.63,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2022-02-05 14:13:55.847,142246d1-77b9-4c04-aed3-47069edcf5a3,0,
,2022-01-19 21:00:00.000,,100003,,2022-01-20 20:55:01.695,2022-01-20 12:15:01.173,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":14504}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-19 21:00:00.000,a69f722b-0e8e-4c69-b61a-33173bd84699,1,
,2022-02-11 21:00:00.000,,100003,,2022-02-12 20:02:00.440,2022-02-12 11:30:43.784,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":23152}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-02-11 21:00:00.000,2f55f686-17d5-43d2-a0fc-0e8724e6fa51,1,
,2022-02-05 21:00:00.000,,10009,,2022-02-11 21:00:02.861,2022-02-06 11:07:25.730,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":17471}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-02-05 21:00:00.000,31ea0e72-ccc6-46b3-ad35-0c507b987733,1,
1203,,11007,,0ae08497-70dc-410d-92d4-af838b5b5e3f,2022-05-06 14:18:54.601,2022-02-13 15:34:49.202,,,1203,UTC+0300,9171800,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2022-02-13 15:34:48.950,40f34082-bba5-4731-9b12-1b3b427bf794,0,
1205,,11007,,d079607e-58b7-4088-aef6-ccd94a05081c,2022-05-06 14:18:54.642,2022-02-07 15:18:27.698,,,1205,UTC+0300,630.0,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2022-02-07 15:18:27.536,d490652b-fcc5-4b62-842a-c425fc32632d,0,
5001,,11007,,d07c3d82-4efb-44ce-9926-ec0630bdd562,2022-02-15 10:42:05.940,2022-02-15 10:42:05.940,,,5001,UTC+0300,10000,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.goal.achievement.distance,2022-02-15 10:42:05.790,681fc13d-eeb3-48be-a265-9e64c5e4a930,0,
5001,,11007,,2aea5782-fd03-477d-8c94-8f781e06823a,2022-02-09 14:59:04.325,2022-02-09 14:59:04.325,,,5001,UTC+0300,10000,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.goal.achievement.distance,2022-02-09 14:59:04.191,3a64a836-95c5-44d4-82a6-35617f790b2c,0,
,2022-02-18 21:00:00.000,,10009,,2022-02-24 21:00:04.812,2022-02-19 15:53:29.287,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":12534}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-02-18 21:00:00.000,74e4598a-1a2d-4ad3-b5df-3d3cfe27e7b0,1,
,2022-01-22 21:00:00.000,,100003,,2022-01-23 20:08:34.983,2022-01-23 15:43:59.850,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":13035}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-22 21:00:00.000,f60d7d75-6c69-4ae4-aeaa-58b45a25acb1,1,
,2022-03-06 21:00:00.000,,100003,,2022-03-12 21:00:03.459,2022-03-07 12:40:00.357,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":25286}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-03-06 21:00:00.000,bbf716fa-5c0e-4752-9630-bcaa78b04a61,1,
,2022-01-24 21:00:00.000,,10009,,2022-01-30 21:00:02.396,2022-01-25 19:57:36.629,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":10153}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-24 21:00:00.000,7865ed4c-2736-4d99-971a-34bc137a43ac,1,
,2022-01-15 21:00:00.000,,100003,,2022-01-16 20:59:20.359,2022-01-16 06:45:36.868,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":6000,""mValue"":40005}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-15 21:00:00.000,ac4be4f1-5bf4-4c95-811a-f7ea2ad02525,1,
,2022-03-03 21:00:00.000,,100003,,2022-03-07 21:00:29.757,2022-03-07 21:00:29.757,,,tracker_pedometer_reward_most_walking_day,UTC+0300,"{""mTarget"":-1,""mValue"":13445}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-03-03 21:00:00.000,e18da01c-cf00-40cd-8170-881bfe279778,1,
5001,,11007,,519e2c8e-da20-42d2-ad79-5f468744d46d,2022-01-28 11:23:32.660,2022-01-28 11:23:32.660,,,5001,UTC+0300,10000,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.goal.achievement.distance,2022-01-28 11:23:32.542,6f37cf14-4570-4e00-9518-068ef26e5c29,0,
,2022-01-17 21:00:00.000,,10009,,2022-01-23 21:00:01.611,2022-01-18 13:28:31.163,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":6000,""mValue"":12229}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-17 21:00:00.000,3bc59d54-8d2f-497a-a599-96a794801194,1,
1205,,11007,,cbb4f74a-a592-4b28-bfa5-32338280b1bf,2022-05-06 14:18:54.642,2022-01-24 11:58:05.544,,,1205,UTC+0300,212.0,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2022-01-24 11:58:05.390,767823c7-ce00-44ea-a069-1b844c4bfc98,0,
,2022-03-08 21:00:00.000,,100003,,2022-03-14 21:00:06.402,2022-03-09 14:55:03.211,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":16639}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-03-08 21:00:00.000,6b358760-6eb5-446c-96e0-2413fc2b80f1,1,
3001,,11007,,a929b249-f353-45a6-ba63-774796da55c7,2022-08-12 18:44:19.372,2022-01-28 16:04:09.155,,,3001,UTC+0300,1,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.accumulated.distance.cycle,2022-01-28 16:04:09.005,610c7d09-9d5f-4360-a0a8-59b1c436f8d9,0,
,2022-01-20 21:00:00.000,,10009,,2022-01-26 21:00:01.887,2022-01-21 19:14:23.887,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":18310}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-20 21:00:00.000,add48301-2ce6-4876-a25f-825543308b92,1,
