com.samsung.shealth.exercise.weather,6221053,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,0,2022-03-28 09:49:47.432,41.080853,,WNW. 300,Fog,0,1,TWC,2022-03-28 09:49:47.436,2022-03-28 09:49:47.436,1,29.035347,15.0,49,UTC+0300,e7FCb+MfnB,6b6db811-2ad1-42c9-ad63-f8eeed042343,com.sec.android.app.shealth,km/h,0,2.0,4,ec9eadf6-2425-44e2-ba5a-17b56c6a2386,
,0,2022-05-03 15:39:24.996,36.92295,,ESE. 120,Partly Cloudy,0,1,TWC,2022-05-03 15:39:24.998,2022-05-03 15:39:24.998,1,30.683634,22.0,64,UTC+0300,e7FCb+MfnB,9181fa98-86e9-4167-8128-c2fe49c46358,com.sec.android.app.shealth,km/h,0,5.0,2,639bb7a1-a00a-411a-bf38-03cac55514e2,
,0,2022-02-11 14:10:29.486,36.849003,,S. 180,Fair,0,1,TWC,2022-02-11 14:10:29.487,2022-02-11 14:10:29.487,1,30.77479,16.0,45,UTC+0300,e7FCb+MfnB,29aa7dbc-95bb-48c3-a951-ac16ec2b6eb0,com.sec.android.app.shealth,km/h,0,13.0,1,9aa6bb4f-c1f2-4bf9-a96f-89e942763e78,
,0,2022-05-07 09:58:45.337,36.923035,,N. 350,Fair,0,1,TWC,2022-05-07 09:58:45.339,2022-05-07 09:58:45.339,1,30.68354,25.0,18,UTC+0300,e7FCb+MfnB,33a7737c-39e7-4cd0-aa51-ed247be29c1b,com.sec.android.app.shealth,km/h,0,5.0,1,679be36c-66ac-4d21-8967-29059ec67533,
,0,2022-04-30 17:34:22.075,36.92296,,W. 280,Mostly Cloudy,0,1,TWC,2022-04-30 17:34:22.077,2022-04-30 17:34:22.077,1,30.68362,24.0,34,UTC+0300,e7FCb+MfnB,d597e124-2414-4f7f-ac39-9dce7e27788f,com.sec.android.app.shealth,km/h,0,8.0,3,f0ea240a-d667-437e-97ae-604f2d3bb755,
,0,2022-05-05 12:22:32.833,36.90737,,NNW. 330,Partly Cloudy,0,1,TWC,2022-05-05 12:22:32.835,2022-05-05 12:22:32.835,1,30.656343,24.0,18,UTC+0300,e7FCb+MfnB,f98200df-58b3-4704-8422-0cd080eb16fc,com.sec.android.app.shealth,km/h,0,8.0,2,a045303a-2aa4-46a9-ba17-fb0c121b0e25,
,0,2022-05-08 15:17:49.485,36.85074,,E. 80,Fair,0,1,TWC,2022-05-08 15:17:49.487,2022-05-08 15:17:49.487,1,30.622555,22.0,52,UTC+0300,e7FCb+MfnB,e2d13feb-f8de-4986-86f4-99252842ed3f,com.sec.android.app.shealth,km/h,0,11.0,1,808da38d-1568-46ca-8bc1-de3911016edf,
,0,2022-02-13 09:56:20.728,36.92257,,SSE. 160,Fair,0,1,TWC,2022-02-13 09:56:20.730,2022-02-13 09:56:20.730,1,30.669071,16.0,45,UTC+0300,e7FCb+MfnB,110d5261-bdfb-4c28-ac62-39f6799477c9,com.sec.android.app.shealth,km/h,0,3.0,1,2b8a363e-96a6-456c-9f1c-f1b2ba228cbd,
,0,2022-05-07 14:17:44.196,36.922997,,SE. 140,Fair,0,1,TWC,2022-05-07 14:17:44.197,2022-05-07 14:17:44.197,1,30.683577,23.0,32,UTC+0300,e7FCb+MfnB,32ddef2b-83bb-4338-82f7-ce53e85bac8a,com.sec.android.app.shealth,km/h,0,10.0,1,1915b105-bfad-4b81-9cc3-5e3b5587fdc9,
,0,2022-05-09 13:31:36.594,36.92291,,ENE. 70,Partly Cloudy,0,1,TWC,2022-05-09 13:31:36.597,2022-05-09 13:31:36.597,1,30.683563,23.0,44,UTC+0300,e7FCb+MfnB,6cd49bdf-7dd5-4a3d-97af-c5eafd3be83c,com.sec.android.app.shealth,km/h,0,8.0,2,b331e430-ff0a-4899-a6e8-f70b41a0feb2,
,0,2022-02-15 10:56:03.716,36.873734,,N. 350,Fair,0,1,TWC,2022-02-15 10:56:03.718,2022-02-15 10:56:03.718,1,30.64248,18.0,29,UTC+0300,e7FCb+MfnB,32a4836e-bbc0-4898-a551-46cdc738d7d6,com.sec.android.app.shealth,km/h,0,2.0,1,ad3c5543-ddeb-4bcc-815f-e653039e5b46,
,0,2022-02-20 13:13:31.873,36.922886,,SSE. 160,Fair,0,1,TWC,2022-02-20 13:13:31.875,2022-02-20 13:13:31.875,1,30.683609,17.0,39,UTC+0300,e7FCb+MfnB,03a85ae0-d76b-48fc-9659-e3c93b95df65,com.sec.android.app.shealth,km/h,0,5.0,1,cedf8e7b-d7f1-46dd-b134-420c713709d3,
,0,2022-05-28 09:15:07.735,41.084805,,NNE. 30,Fair,0,1,TWC,2022-05-28 09:15:07.736,2022-05-28 09:15:07.736,1,29.04441,26.0,47,UTC+0300,e7FCb+MfnB,5e7145dc-40bf-4e96-9d2f-71d7fd12b155,com.sec.android.app.shealth,km/h,0,5.0,1,08264d39-a18b-4b0c-a800-32ea2566810a,
,0,2022-03-07 14:17:51.691,41.11066,,N. 10,Mostly Cloudy,0,1,TWC,2022-03-07 14:17:51.693,2022-03-07 14:17:51.693,1,29.032482,6.0,81,UTC+0300,e7FCb+MfnB,16a5e02f-9d2e-4e21-8c87-4510e5ba1b42,com.sec.android.app.shealth,km/h,0,16.0,3,b1e80102-6b39-4529-9244-3d91e27625dd,
,0,2022-06-09 11:48:00.056,36.92295,,SE. 140,Fair,0,1,TWC,2022-06-09 11:48:00.059,2022-06-09 11:48:00.059,1,30.683561,27.0,66,UTC+0300,e7FCb+MfnB,795799c5-d4ec-4cf3-99e0-9e35de640dc1,com.sec.android.app.shealth,km/h,0,8.0,1,df97486e-b9dc-440b-857f-81f0a1e0ca6b,
,0,2022-05-31 19:21:37.473,41.087055,,ENE. 70,Fair,0,1,TWC,2022-05-31 19:21:37.475,2022-05-31 19:21:37.475,1,29.043505,20.0,76,UTC+0300,e7FCb+MfnB,6f2c5ab3-cdb8-4dca-9c97-94e2652c3cff,com.sec.android.app.shealth,km/h,0,14.0,18,bc2692e2-6be5-4923-9234-a54d4b235114,
,0,2022-04-24 11:37:53.367,41.079926,,WNW. 300,Fair,0,1,TWC,2022-04-24 11:37:53.372,2022-04-24 11:37:53.372,1,29.050552,22.0,41,UTC+0300,e7FCb+MfnB,6e50572e-b57d-4754-991e-b56191ab2b18,com.sec.android.app.shealth,km/h,0,3.0,1,d891efa6-c12c-416c-9492-7ec48d6b8bc5,
,0,2022-06-12 10:50:49.331,36.92282,,SE. 140,Partly Cloudy,0,1,TWC,2022-06-12 10:50:49.332,2022-06-12 10:50:49.332,1,30.68361,26.0,58,UTC+0300,e7FCb+MfnB,c618f9fd-db22-4004-88ac-64a8b29a9594,com.sec.android.app.shealth,km/h,0,11.0,2,6ce0791a-5806-4f37-bd12-d9fd2fd6fbf9,
,0,2022-01-27 08:28:45.286,36.922916,,NNW. 330,Fair,0,1,TWC,2022-01-27 08:28:45.287,2022-01-27 08:28:45.287,1,30.683672,8.0,20,UTC+0300,e7FCb+MfnB,08e60204-fe88-4c03-9f0e-d7db4c1b353e,com.sec.android.app.shealth,km/h,0,11.0,1,fcd11338-88fa-4e5e-bce4-5fbd1f4a7c77,
,0,2022-06-16 12:59:07.364,36.85505,,S. 180,Fair,0,1,TWC,2022-06-16 12:59:07.369,2022-06-16 12:59:07.369,1,30.779535,29.0,56,UTC+0300,e7FCb+MfnB,1f7dcf63-ea6f-4438-b235-02a1cca577d2,com.sec.android.app.shealth,km/h,0,21.0,1,0a20031f-a136-4516-80a9-0b63b471ba1c,
